ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
CMA,3210,0,0.0,,,2011-09-21,2024-06-21,가격 없음
CMCSK,59,0,0.0,,,2015-09-21,2015-12-11,가격 없음
CNX,1120,1119,0.9991071428571429,2011-09-21,2026-09-21,2011-09-21,2016-03-03,복원
COG,2526,0,0.0,,,2011-09-21,2021-10-01,가격 없음
COL,1809,0,0.0,,,2011-09-21,2018-11-26,가격 없음
COTY,998,998,1.0,2013-06-13,2026-09-21,2016-10-03,2020-09-18,복원
COV,841,0,0.0,,,2011-09-21,2015-01-26,가격 없음
CPB,3713,3707,0.9983840560193913,2011-09-21,2026-09-21,2011-09-21,2026-06-18,복원
CPGX,253,0,0.0,,,2015-07-02,2016-06-30,가격 없음
CPRI,1097,1096,0.9990884229717412,2011-12-15,2026-09-21,2016-01-04,2020-05-11,복원
CPWR,71,71,1.0,2011-09-21,2026-09-21,2011-09-21,2011-12-30,복원
CSRA,590,0,0.0,2026-08-12,2026-09-21,2015-11-30,2018-04-03,재사용 의심
CTL,2264,0,0.0,,,2011-09-21,2020-09-17,가격 없음
CTLT,1072,0,0.0,,,2020-09-21,2024-12-20,가격 없음
CTRA,1156,0,0.0,,,2021-10-04,2026-05-06,가격 없음
CTXS,2777,0,0.0,,,2011-09-21,2022-09-30,가격 없음
CVC,1195,0,0.0,,,2011-09-21,2016-06-20,가격 없음
CVH,407,0,0.0,,,2011-09-21,2013-05-06,가격 없음
CXO,1238,0,0.0,,,2016-02-22,2021-01-20,가격 없음
CZR,1135,1131,0.9964757709251101,2014-09-22,2026-09-21,2021-03-22,2025-09-19,복원
DAY,509,0,0.0,,,2024-02-01,2026-02-06,가격 없음
DF,420,0,0.0,,,2011-09-21,2013-05-23,가격 없음
DFS,3437,0,0.0,,,2011-09-21,2025-05-16,가격 없음
DISCA,2657,0,0.0,,,2011-09-21,2022-04-08,가격 없음
DISCK,1934,0,0.0,,,2014-08-07,2022-04-08,가격 없음
DISH,1578,0,0.0,,,2017-03-13,2023-06-16,가격 없음
DNB,1394,0,0.0,,,2011-09-21,2017-04-04,가격 없음
DNR,879,0,0.0,,,2011-09-21,2015-03-20,가격 없음
DO,1267,0,0.0,,,2011-09-21,2016-09-30,가격 없음
DRE,1306,0,0.0,,,2017-07-26,2022-09-30,가격 없음
DTV,966,0,0.0,,,2011-09-21,2015-07-24,가격 없음
DWDP,438,0,0.0,,,2017-09-01,2019-05-31,가격 없음
DXC,2689,2689,1.0,2011-09-21,2026-09-21,2011-09-21,2023-09-29,복원
EA,3744,0,0.0,,,2011-09-21,2026-08-04,가격 없음
ECHO,63,62,0.9841269841269841,2011-09-21,2026-09-21,2026-06-24,2026-09-21,복원
EMC,1249,0,0.0,2023-05-15,2026-09-21,2011-09-21,2016-09-06,재사용 의심
EMN,3556,3551,0.9985939257592801,2011-09-21,2026-09-21,2011-09-21,2025-11-03,복원
ENDP,529,0,0.0,,,2015-01-27,2017-03-01,가격 없음
ENPH,1185,1181,0.9966244725738397,2012-03-30,2026-09-21,2021-01-07,2025-09-19,복원
EP,171,171,1.0,2011-09-21,2026-09-21,2011-09-21,2012-05-24,복원
